time_iso8601,forks_cumulative
2021-05-17 00:00:00+00:00,1
2021-06-16 00:00:00+00:00,2
2021-06-30 00:00:00+00:00,3
2021-07-01 00:00:00+00:00,5
2021-07-03 00:00:00+00:00,6
2021-07-22 00:00:00+00:00,7
2021-08-25 00:00:00+00:00,8
2021-08-27 00:00:00+00:00,9
2021-09-20 00:00:00+00:00,10
2021-10-20 00:00:00+00:00,11
2021-11-07 00:00:00+00:00,12
2021-11-18 00:00:00+00:00,13
2021-12-17 00:00:00+00:00,14
2022-03-23 00:00:00+00:00,15
2022-04-05 00:00:00+00:00,16
2022-05-03 00:00:00+00:00,17
2022-06-11 00:00:00+00:00,18
2022-06-23 00:00:00+00:00,19
