time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-27 00:00:00+00:00,3,3,82,12
2024-03-28 00:00:00+00:00,5,5,92,9
2024-03-29 00:00:00+00:00,3,3,10,5
2024-03-30 00:00:00+00:00,4,4,74,6
2024-03-31 00:00:00+00:00,3,3,78,6
2024-04-01 00:00:00+00:00,3,3,86,11
2024-04-02 00:00:00+00:00,5,5,79,8
2024-04-03 00:00:00+00:00,5,5,77,12
2024-04-04 00:00:00+00:00,3,3,76,11
2024-04-05 00:00:00+00:00,3,3,90,11
2024-04-06 00:00:00+00:00,3,3,10,5
2024-04-07 00:00:00+00:00,3,3,10,6
2024-04-08 00:00:00+00:00,6,5,16,8
2024-04-09 00:00:00+00:00,3,3,10,8
