time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-22 00:00:00+00:00,4,3,4,1
2022-06-23 00:00:00+00:00,1,1,18,5
2022-06-24 00:00:00+00:00,2,2,1,1
2022-06-25 00:00:00+00:00,4,4,0,0
2022-06-26 00:00:00+00:00,2,2,1,1
2022-06-27 00:00:00+00:00,3,3,17,6
2022-06-28 00:00:00+00:00,2,2,4,2
2022-06-29 00:00:00+00:00,4,3,17,6
2022-06-30 00:00:00+00:00,9,6,17,8
2022-07-01 00:00:00+00:00,1,1,0,0
2022-07-02 00:00:00+00:00,1,1,3,1
2022-07-03 00:00:00+00:00,1,1,0,0
2022-07-04 00:00:00+00:00,3,2,0,0
2022-07-05 00:00:00+00:00,14,9,56,3
2022-07-06 00:00:00+00:00,5,5,5,4
2022-07-07 00:00:00+00:00,7,7,18,5
2022-07-08 00:00:00+00:00,8,6,7,5
2022-07-09 00:00:00+00:00,3,3,2,2
2022-07-10 00:00:00+00:00,4,4,0,0
2022-07-11 00:00:00+00:00,7,7,16,3
2022-07-12 00:00:00+00:00,4,4,22,3
2022-07-13 00:00:00+00:00,6,6,5,4
2022-07-14 00:00:00+00:00,8,8,7,5
2022-07-15 00:00:00+00:00,3,3,38,3
2022-07-16 00:00:00+00:00,5,5,2,1
2022-07-17 00:00:00+00:00,6,5,1,1
2022-07-18 00:00:00+00:00,5,5,6,4
2022-07-19 00:00:00+00:00,4,4,2,2
2022-07-20 00:00:00+00:00,6,6,3,3
2022-07-21 00:00:00+00:00,6,5,7,5
2022-07-22 00:00:00+00:00,5,5,18,2
2022-07-23 00:00:00+00:00,6,6,4,4
2022-07-24 00:00:00+00:00,5,5,2,2
2022-07-25 00:00:00+00:00,6,6,4,3
2022-07-26 00:00:00+00:00,44,42,51,33
2022-07-27 00:00:00+00:00,32,32,77,68
2022-07-28 00:00:00+00:00,4,4,72,50
2022-07-29 00:00:00+00:00,4,4,21,16
2022-07-30 00:00:00+00:00,6,6,11,11
2022-07-31 00:00:00+00:00,3,3,29,10
2022-08-01 00:00:00+00:00,6,6,66,28
2022-08-02 00:00:00+00:00,9,8,43,20
2022-08-03 00:00:00+00:00,7,7,15,10
2022-08-04 00:00:00+00:00,9,9,69,37
2022-08-05 00:00:00+00:00,5,4,35,19
2022-08-06 00:00:00+00:00,8,7,6,5
2022-08-07 00:00:00+00:00,4,4,9,7
2022-08-08 00:00:00+00:00,5,5,28,19
2022-08-09 00:00:00+00:00,5,5,18,15
2022-08-10 00:00:00+00:00,5,5,10,10
2022-08-11 00:00:00+00:00,6,6,12,11
2022-08-12 00:00:00+00:00,6,6,19,16
2022-08-13 00:00:00+00:00,10,7,0,0
2022-08-14 00:00:00+00:00,4,4,90,51
2022-08-15 00:00:00+00:00,12,11,127,96
2022-08-16 00:00:00+00:00,5,5,80,62
2022-08-17 00:00:00+00:00,19,5,39,31
2022-08-18 00:00:00+00:00,7,7,155,104
2022-08-19 00:00:00+00:00,5,5,90,68
2022-08-20 00:00:00+00:00,4,4,15,13
2022-08-21 00:00:00+00:00,3,3,17,13
2022-08-22 00:00:00+00:00,5,5,48,41
2022-08-23 00:00:00+00:00,5,5,32,28
2022-08-24 00:00:00+00:00,3,3,24,18
2022-08-25 00:00:00+00:00,8,6,19,13
2022-08-26 00:00:00+00:00,5,5,16,13
2022-08-27 00:00:00+00:00,3,3,1,1
2022-08-28 00:00:00+00:00,3,3,10,9
2022-08-29 00:00:00+00:00,9,8,40,20
2022-08-30 00:00:00+00:00,8,7,19,14
2022-08-31 00:00:00+00:00,8,8,25,18
2022-09-01 00:00:00+00:00,4,4,14,12
2022-09-02 00:00:00+00:00,4,4,14,10
2022-09-03 00:00:00+00:00,3,3,3,3
2022-09-04 00:00:00+00:00,3,3,5,5
2022-09-05 00:00:00+00:00,5,5,6,6
2022-09-06 00:00:00+00:00,4,4,15,9
2022-09-07 00:00:00+00:00,4,4,13,13
2022-09-08 00:00:00+00:00,7,6,14,11
2022-09-09 00:00:00+00:00,5,4,10,8
2022-09-10 00:00:00+00:00,3,3,1,1
2022-09-11 00:00:00+00:00,4,4,7,7
2022-09-12 00:00:00+00:00,3,3,12,6
2022-09-13 00:00:00+00:00,4,4,8,5
2022-09-14 00:00:00+00:00,5,5,7,7
2022-09-15 00:00:00+00:00,7,6,7,7
2022-09-16 00:00:00+00:00,7,7,36,18
2022-09-17 00:00:00+00:00,5,5,8,2
2022-09-18 00:00:00+00:00,4,4,4,4
2022-09-19 00:00:00+00:00,5,5,13,9
2022-09-20 00:00:00+00:00,7,7,8,7
2022-09-21 00:00:00+00:00,5,5,11,9
2022-09-22 00:00:00+00:00,6,6,11,10
2022-09-23 00:00:00+00:00,9,7,11,7
